age,gender,primary_device,educational_to_recreational_ratio,health_impacts,urban_or_rural,age_group,usage_category,health_impact_level,daily_screen_time_min,screen_time_risk
9,Male,Tv,0.5,Poor Sleep,Urban,5-10 yrs,Mostly Educational,Low Risk,457,Excessive Usage
11,Male,Smartphone,0.35,None,Rural,11-15 yrs,Mostly Recreational,High Risk,165,Slightly Over Limit
16,Male,Tv,0.42,"Eye Strain, Anxiety, Obesity Risk",Urban,16-20 yrs,Balanced,Moderate Risk,404,Excessive Usage
9,Female,Smartphone,0.47,None,Urban,5-10 yrs,Balanced,Moderate Risk,0,Within Limit
17,Male,Smartphone,0.48,None,Rural,16-20 yrs,Balanced,Moderate Risk,140,Within Limit
16,Male,Smartphone,0.3,None,Rural,16-20 yrs,Mostly Recreational,High Risk,171,Slightly Over Limit
17,Male,Laptop,0.39,"Poor Sleep, Eye Strain",Rural,16-20 yrs,Mostly Recreational,High Risk,257,Excessive Usage
12,Male,Tv,0.39,"Poor Sleep, Anxiety",Urban,11-15 yrs,Mostly Recreational,High Risk,362,Excessive Usage
9,Female,Smartphone,0.42,None,Urban,5-10 yrs,Balanced,Moderate Risk,64,Within Limit
11,Male,Smartphone,0.4,None,Urban,11-15 yrs,Balanced,Moderate Risk,170,Slightly Over Limit
14,Male,Smartphone,0.47,None,Urban,11-15 yrs,Balanced,Moderate Risk,235,Excessive Usage
15,Male,Smartphone,0.39,"Poor Sleep, Anxiety",Urban,11-15 yrs,Mostly Recreational,High Risk,273,Excessive Usage
10,Female,Smartphone,0.56,Poor Sleep,Rural,5-10 yrs,Mostly Educational,Low Risk,412,Excessive Usage
8,Male,Tv,0.41,"Poor Sleep, Obesity Risk",Rural,5-10 yrs,Balanced,Moderate Risk,208,Excessive Usage
11,Female,Tablet,0.46,Poor Sleep,Urban,11-15 yrs,Balanced,Moderate Risk,277,Excessive Usage
9,Male,Smartphone,0.59,None,Rural,5-10 yrs,Mostly Educational,Low Risk,0,Within Limit
15,Male,Smartphone,0.41,None,Rural,11-15 yrs,Balanced,Moderate Risk,208,Excessive Usage
11,Male,Tv,0.42,Poor Sleep,Urban,11-15 yrs,Balanced,Moderate Risk,259,Excessive Usage
9,Male,Smartphone,0.45,None,Urban,5-10 yrs,Balanced,Moderate Risk,138,Slightly Over Limit
13,Male,Laptop,0.38,None,Urban,11-15 yrs,Mostly Recreational,High Risk,270,Excessive Usage
13,Female,Laptop,0.38,None,Rural,11-15 yrs,Mostly Recreational,High Risk,159,Slightly Over Limit
17,Male,Laptop,0.43,None,Urban,16-20 yrs,Balanced,Moderate Risk,320,Excessive Usage
11,Male,Tv,0.43,"Poor Sleep, Obesity Risk",Urban,11-15 yrs,Balanced,Moderate Risk,232,Excessive Usage
13,Male,Tablet,0.41,"Poor Sleep, Anxiety",Urban,11-15 yrs,Balanced,Moderate Risk,340,Excessive Usage
9,Female,Tv,0.53,"Poor Sleep, Eye Strain",Rural,5-10 yrs,Mostly Educational,Low Risk,228,Excessive Usage
17,Male,Tv,0.34,"Poor Sleep, Obesity Risk",Rural,16-20 yrs,Mostly Recreational,High Risk,277,Excessive Usage
9,Male,Tablet,0.6,None,Rural,5-10 yrs,Mostly Educational,Low Risk,54,Within Limit
17,Female,Tv,0.42,None,Urban,16-20 yrs,Balanced,Moderate Risk,198,Slightly Over Limit
11,Male,Tv,0.31,Poor Sleep,Urban,11-15 yrs,Mostly Recreational,High Risk,307,Excessive Usage
15,Female,Tv,0.48,Poor Sleep,Urban,11-15 yrs,Balanced,Moderate Risk,349,Excessive Usage
14,Female,Smartphone,0.47,"Poor Sleep, Eye Strain",Rural,11-15 yrs,Balanced,Moderate Risk,256,Excessive Usage
16,Male,Smartphone,0.35,Poor Sleep,Urban,16-20 yrs,Mostly Recreational,High Risk,347,Excessive Usage
15,Female,Tv,0.32,None,Urban,11-15 yrs,Mostly Recreational,High Risk,161,Slightly Over Limit
12,Female,Smartphone,0.44,Poor Sleep,Urban,11-15 yrs,Balanced,Moderate Risk,218,Excessive Usage
9,Male,Tv,0.46,None,Urban,5-10 yrs,Balanced,Moderate Risk,254,Excessive Usage
12,Male,Laptop,0.41,Poor Sleep,Urban,11-15 yrs,Balanced,Moderate Risk,369,Excessive Usage
15,Female,Tablet,0.33,"Poor Sleep, Eye Strain",Urban,11-15 yrs,Mostly Recreational,High Risk,343,Excessive Usage
17,Male,Laptop,0.31,None,Rural,16-20 yrs,Mostly Recreational,High Risk,205,Slightly Over Limit
16,Male,Laptop,0.48,"Poor Sleep, Eye Strain",Urban,16-20 yrs,Balanced,Moderate Risk,267,Excessive Usage
16,Male,Smartphone,0.31,None,Urban,16-20 yrs,Mostly Recreational,High Risk,174,Slightly Over Limit
8,Female,Smartphone,0.46,"Poor Sleep, Eye Strain",Urban,5-10 yrs,Balanced,Moderate Risk,452,Excessive Usage
16,Male,Tablet,0.48,"Poor Sleep, Anxiety",Urban,16-20 yrs,Balanced,Moderate Risk,260,Excessive Usage
14,Female,Smartphone,0.49,None,Urban,11-15 yrs,Balanced,Moderate Risk,326,Excessive Usage
16,Female,Tablet,0.33,"Poor Sleep, Anxiety",Rural,16-20 yrs,Mostly Recreational,High Risk,287,Excessive Usage
15,Female,Tablet,0.48,"Poor Sleep, Anxiety, Obesity Risk",Urban,11-15 yrs,Balanced,Moderate Risk,218,Excessive Usage
8,Female,Smartphone,0.45,None,Rural,5-10 yrs,Balanced,Moderate Risk,100,Slightly Over Limit
15,Female,Tablet,0.42,"Anxiety, Obesity Risk",Rural,11-15 yrs,Balanced,Moderate Risk,298,Excessive Usage
15,Male,Smartphone,0.44,"Poor Sleep, Eye Strain",Urban,11-15 yrs,Balanced,Moderate Risk,355,Excessive Usage
18,Female,Tablet,0.39,Poor Sleep,Rural,16-20 yrs,Mostly Recreational,High Risk,378,Excessive Usage
10,Female,Tablet,0.4,None,Urban,5-10 yrs,Balanced,Moderate Risk,0,Within Limit
8,Male,Tv,0.43,None,Rural,5-10 yrs,Balanced,Moderate Risk,203,Excessive Usage
15,Male,Smartphone,0.32,"Poor Sleep, Obesity Risk",Rural,11-15 yrs,Mostly Recreational,High Risk,214,Excessive Usage
10,Female,Smartphone,0.57,None,Urban,5-10 yrs,Mostly Educational,Low Risk,82,Within Limit
10,Male,Smartphone,0.45,None,Rural,5-10 yrs,Balanced,Moderate Risk,0,Within Limit
8,Male,Tv,0.53,None,Rural,5-10 yrs,Mostly Educational,Low Risk,165,Excessive Usage
18,Female,Smartphone,0.32,None,Urban,16-20 yrs,Mostly Recreational,High Risk,384,Excessive Usage
12,Female,Laptop,0.48,Poor Sleep,Rural,11-15 yrs,Balanced,Moderate Risk,226,Excessive Usage
17,Female,Smartphone,0.47,Poor Sleep,Urban,16-20 yrs,Balanced,Moderate Risk,284,Excessive Usage
14,Male,Tablet,0.4,Poor Sleep,Urban,11-15 yrs,Balanced,Moderate Risk,346,Excessive Usage
17,Female,Smartphone,0.34,None,Urban,16-20 yrs,Mostly Recreational,High Risk,167,Slightly Over Limit
16,Female,Smartphone,0.39,Poor Sleep,Rural,16-20 yrs,Mostly Recreational,High Risk,236,Excessive Usage
14,Male,Tv,0.31,Obesity Risk,Urban,11-15 yrs,Mostly Recreational,High Risk,277,Excessive Usage
16,Male,Tv,0.49,Poor Sleep,Urban,16-20 yrs,Balanced,Moderate Risk,340,Excessive Usage
15,Female,Laptop,0.4,Poor Sleep,Urban,11-15 yrs,Balanced,Moderate Risk,271,Excessive Usage
9,Female,Smartphone,0.46,None,Rural,5-10 yrs,Balanced,Moderate Risk,27,Within Limit
8,Male,Smartphone,0.58,None,Urban,5-10 yrs,Mostly Educational,Low Risk,151,Excessive Usage
14,Male,Smartphone,0.39,None,Urban,11-15 yrs,Mostly Recreational,High Risk,362,Excessive Usage
14,Female,Smartphone,0.47,Poor Sleep,Rural,11-15 yrs,Balanced,Moderate Risk,366,Excessive Usage
15,Male,Smartphone,0.39,Obesity Risk,Urban,11-15 yrs,Mostly Recreational,High Risk,337,Excessive Usage
12,Male,Smartphone,0.37,None,Urban,11-15 yrs,Mostly Recreational,High Risk,140,Slightly Over Limit
10,Male,Tv,0.56,Poor Sleep,Urban,5-10 yrs,Mostly Educational,Low Risk,412,Excessive Usage
15,Female,Laptop,0.31,Poor Sleep,Rural,11-15 yrs,Mostly Recreational,High Risk,227,Excessive Usage
13,Male,Smartphone,0.44,"Anxiety, Obesity Risk",Urban,11-15 yrs,Balanced,Moderate Risk,280,Excessive Usage
18,Male,Tablet,0.45,"Poor Sleep, Eye Strain",Rural,16-20 yrs,Balanced,Moderate Risk,195,Slightly Over Limit
10,Male,Smartphone,0.46,None,Rural,5-10 yrs,Balanced,Moderate Risk,299,Excessive Usage
8,Male,Smartphone,0.45,"Poor Sleep, Eye Strain, Obesity Risk",Urban,5-10 yrs,Balanced,Moderate Risk,313,Excessive Usage
10,Female,Tv,0.6,None,Urban,5-10 yrs,Mostly Educational,Low Risk,301,Excessive Usage
12,Male,Smartphone,0.43,Eye Strain,Urban,11-15 yrs,Balanced,Moderate Risk,364,Excessive Usage
10,Female,Smartphone,0.46,None,Rural,5-10 yrs,Balanced,Moderate Risk,112,Slightly Over Limit
8,Female,Smartphone,0.48,None,Rural,5-10 yrs,Balanced,Moderate Risk,389,Excessive Usage
12,Male,Laptop,0.46,Eye Strain,Rural,11-15 yrs,Balanced,Moderate Risk,262,Excessive Usage
17,Male,Laptop,0.31,Poor Sleep,Rural,16-20 yrs,Mostly Recreational,High Risk,250,Excessive Usage
14,Female,Laptop,0.39,Eye Strain,Urban,11-15 yrs,Mostly Recreational,High Risk,235,Excessive Usage
14,Male,Laptop,0.41,Poor Sleep,Urban,11-15 yrs,Balanced,Moderate Risk,272,Excessive Usage
18,Female,Smartphone,0.35,"Poor Sleep, Anxiety, Obesity Risk",Rural,16-20 yrs,Mostly Recreational,High Risk,275,Excessive Usage
16,Female,Smartphone,0.45,None,Urban,16-20 yrs,Balanced,Moderate Risk,145,Within Limit
17,Male,Smartphone,0.49,Poor Sleep,Urban,16-20 yrs,Balanced,Moderate Risk,407,Excessive Usage
17,Female,Tv,0.48,Obesity Risk,Rural,16-20 yrs,Balanced,Moderate Risk,251,Excessive Usage
10,Female,Tv,0.48,"Poor Sleep, Eye Strain",Rural,5-10 yrs,Balanced,Moderate Risk,196,Excessive Usage
14,Male,Tablet,0.34,"Poor Sleep, Eye Strain",Urban,11-15 yrs,Mostly Recreational,High Risk,361,Excessive Usage
8,Female,Smartphone,0.5,"Eye Strain, Obesity Risk",Urban,5-10 yrs,Mostly Educational,Low Risk,284,Excessive Usage
11,Female,Smartphone,0.43,"Poor Sleep, Eye Strain, Obesity Risk",Urban,11-15 yrs,Balanced,Moderate Risk,205,Excessive Usage
11,Female,Smartphone,0.41,"Poor Sleep, Anxiety",Urban,11-15 yrs,Balanced,Moderate Risk,328,Excessive Usage
12,Female,Smartphone,0.32,Poor Sleep,Rural,11-15 yrs,Mostly Recreational,High Risk,377,Excessive Usage
14,Male,Smartphone,0.46,"Poor Sleep, Anxiety",Urban,11-15 yrs,Balanced,Moderate Risk,196,Excessive Usage
14,Male,Smartphone,0.38,Anxiety,Urban,11-15 yrs,Mostly Recreational,High Risk,364,Excessive Usage
18,Female,Tv,0.32,Poor Sleep,Urban,16-20 yrs,Mostly Recreational,High Risk,280,Excessive Usage
11,Male,Smartphone,0.43,None,Urban,11-15 yrs,Balanced,Moderate Risk,225,Excessive Usage
14,Female,Smartphone,0.3,"Poor Sleep, Eye Strain",Urban,11-15 yrs,Mostly Recreational,High Risk,402,Excessive Usage
18,Female,Smartphone,0.38,None,Urban,16-20 yrs,Mostly Recreational,High Risk,215,Excessive Usage
10,Female,Tv,0.47,None,Rural,5-10 yrs,Balanced,Moderate Risk,151,Excessive Usage
13,Male,Smartphone,0.43,Poor Sleep,Urban,11-15 yrs,Balanced,Moderate Risk,314,Excessive Usage
9,Female,Tablet,0.49,None,Rural,5-10 yrs,Balanced,Moderate Risk,0,Within Limit
17,Female,Smartphone,0.36,Poor Sleep,Urban,16-20 yrs,Mostly Recreational,High Risk,308,Excessive Usage
16,Female,Tablet,0.33,Eye Strain,Urban,16-20 yrs,Mostly Recreational,High Risk,222,Excessive Usage
12,Male,Tv,0.32,Poor Sleep,Urban,11-15 yrs,Mostly Recreational,High Risk,287,Excessive Usage
13,Male,Tablet,0.43,"Poor Sleep, Eye Strain, Anxiety",Rural,11-15 yrs,Balanced,Moderate Risk,198,Excessive Usage
11,Female,Smartphone,0.5,Poor Sleep,Urban,11-15 yrs,Mostly Educational,Low Risk,358,Excessive Usage
18,Female,Smartphone,0.37,"Eye Strain, Anxiety, Obesity Risk",Urban,16-20 yrs,Mostly Recreational,High Risk,183,Slightly Over Limit
17,Female,Smartphone,0.42,Eye Strain,Urban,16-20 yrs,Balanced,Moderate Risk,311,Excessive Usage
14,Female,Laptop,0.33,"Poor Sleep, Eye Strain",Urban,11-15 yrs,Mostly Recreational,High Risk,220,Excessive Usage
16,Male,Smartphone,0.47,None,Urban,16-20 yrs,Balanced,Moderate Risk,245,Excessive Usage
14,Female,Tv,0.32,None,Urban,11-15 yrs,Mostly Recreational,High Risk,265,Excessive Usage
8,Female,Smartphone,0.54,Poor Sleep,Urban,5-10 yrs,Mostly Educational,Low Risk,290,Excessive Usage
8,Female,Smartphone,0.52,None,Rural,5-10 yrs,Mostly Educational,Low Risk,409,Excessive Usage
16,Female,Smartphone,0.4,Poor Sleep,Urban,16-20 yrs,Balanced,Moderate Risk,276,Excessive Usage
18,Female,Smartphone,0.44,Poor Sleep,Urban,16-20 yrs,Balanced,Moderate Risk,244,Excessive Usage
16,Female,Tv,0.49,None,Urban,16-20 yrs,Balanced,Moderate Risk,390,Excessive Usage
11,Female,Tv,0.3,"Poor Sleep, Eye Strain, Anxiety, Obesity Risk",Rural,11-15 yrs,Mostly Recreational,High Risk,253,Excessive Usage
16,Female,Laptop,0.36,Poor Sleep,Urban,16-20 yrs,Mostly Recreational,High Risk,424,Excessive Usage
10,Male,Smartphone,0.51,None,Rural,5-10 yrs,Mostly Educational,Low Risk,149,Slightly Over Limit
14,Female,Smartphone,0.42,Poor Sleep,Urban,11-15 yrs,Balanced,Moderate Risk,244,Excessive Usage
13,Male,Smartphone,0.36,None,Urban,11-15 yrs,Mostly Recreational,High Risk,234,Excessive Usage
15,Female,Tv,0.33,None,Urban,11-15 yrs,Mostly Recreational,High Risk,143,Slightly Over Limit
18,Female,Laptop,0.39,Poor Sleep,Rural,16-20 yrs,Mostly Recreational,High Risk,395,Excessive Usage
16,Male,Laptop,0.4,Poor Sleep,Rural,16-20 yrs,Balanced,Moderate Risk,336,Excessive Usage
12,Male,Laptop,0.31,Poor Sleep,Urban,11-15 yrs,Mostly Recreational,High Risk,319,Excessive Usage
8,Male,Tv,0.51,"Poor Sleep, Eye Strain, Anxiety",Rural,5-10 yrs,Mostly Educational,Low Risk,289,Excessive Usage
10,Male,Tv,0.56,Poor Sleep,Urban,5-10 yrs,Mostly Educational,Low Risk,221,Excessive Usage
17,Male,Tv,0.39,Poor Sleep,Urban,16-20 yrs,Mostly Recreational,High Risk,250,Excessive Usage
15,Male,Tv,0.35,"Poor Sleep, Anxiety",Urban,11-15 yrs,Mostly Recreational,High Risk,245,Excessive Usage
18,Male,Smartphone,0.39,Anxiety,Rural,16-20 yrs,Mostly Recreational,High Risk,350,Excessive Usage
13,Female,Laptop,0.44,Poor Sleep,Rural,11-15 yrs,Balanced,Moderate Risk,284,Excessive Usage
15,Female,Tv,0.39,"Poor Sleep, Eye Strain",Urban,11-15 yrs,Mostly Recreational,High Risk,241,Excessive Usage
16,Female,Laptop,0.44,None,Urban,16-20 yrs,Balanced,Moderate Risk,155,Slightly Over Limit
11,Female,Smartphone,0.45,Poor Sleep,Urban,11-15 yrs,Balanced,Moderate Risk,296,Excessive Usage
8,Male,Tv,0.59,Eye Strain,Rural,5-10 yrs,Mostly Educational,Low Risk,249,Excessive Usage
8,Male,Tv,0.48,None,Urban,5-10 yrs,Balanced,Moderate Risk,18,Within Limit
17,Female,Tablet,0.37,Obesity Risk,Rural,16-20 yrs,Mostly Recreational,High Risk,285,Excessive Usage
11,Male,Laptop,0.48,None,Urban,11-15 yrs,Balanced,Moderate Risk,307,Excessive Usage
14,Male,Smartphone,0.4,"Poor Sleep, Obesity Risk",Urban,11-15 yrs,Balanced,Moderate Risk,192,Excessive Usage
9,Male,Smartphone,0.51,Eye Strain,Urban,5-10 yrs,Mostly Educational,Low Risk,343,Excessive Usage
10,Male,Tv,0.43,None,Rural,5-10 yrs,Balanced,Moderate Risk,408,Excessive Usage
8,Female,Tablet,0.42,"Poor Sleep, Anxiety",Urban,5-10 yrs,Balanced,Moderate Risk,284,Excessive Usage
12,Male,Smartphone,0.5,None,Urban,11-15 yrs,Mostly Educational,Low Risk,91,Within Limit
8,Female,Tablet,0.5,Poor Sleep,Urban,5-10 yrs,Mostly Educational,Low Risk,464,Excessive Usage
15,Female,Smartphone,0.33,"Poor Sleep, Eye Strain",Urban,11-15 yrs,Mostly Recreational,High Risk,305,Excessive Usage
8,Female,Tv,0.41,None,Urban,5-10 yrs,Balanced,Moderate Risk,68,Within Limit
18,Male,Smartphone,0.46,"Poor Sleep, Eye Strain, Obesity Risk",Rural,16-20 yrs,Balanced,Moderate Risk,307,Excessive Usage
8,Male,Tv,0.51,Poor Sleep,Urban,5-10 yrs,Mostly Educational,Low Risk,380,Excessive Usage
9,Female,Smartphone,0.58,Poor Sleep,Urban,5-10 yrs,Mostly Educational,Low Risk,303,Excessive Usage
9,Female,Smartphone,0.58,None,Urban,5-10 yrs,Mostly Educational,Low Risk,44,Within Limit
13,Male,Smartphone,0.45,Poor Sleep,Urban,11-15 yrs,Balanced,Moderate Risk,329,Excessive Usage
14,Female,Laptop,0.36,Poor Sleep,Urban,11-15 yrs,Mostly Recreational,High Risk,271,Excessive Usage
12,Male,Smartphone,0.48,None,Urban,11-15 yrs,Balanced,Moderate Risk,174,Slightly Over Limit
8,Male,Tablet,0.49,Poor Sleep,Urban,5-10 yrs,Balanced,Moderate Risk,377,Excessive Usage
8,Male,Smartphone,0.5,None,Urban,5-10 yrs,Mostly Educational,Low Risk,126,Slightly Over Limit
10,Female,Tv,0.47,Poor Sleep,Urban,5-10 yrs,Balanced,Moderate Risk,272,Excessive Usage
9,Female,Tablet,0.48,None,Rural,5-10 yrs,Balanced,Moderate Risk,146,Slightly Over Limit
12,Female,Smartphone,0.4,None,Urban,11-15 yrs,Balanced,Moderate Risk,128,Slightly Over Limit
17,Female,Smartphone,0.33,None,Urban,16-20 yrs,Mostly Recreational,High Risk,163,Slightly Over Limit
13,Female,Smartphone,0.41,"Poor Sleep, Anxiety",Urban,11-15 yrs,Balanced,Moderate Risk,269,Excessive Usage
14,Female,Tablet,0.38,None,Urban,11-15 yrs,Mostly Recreational,High Risk,189,Excessive Usage
11,Male,Smartphone,0.42,"Eye Strain, Anxiety",Rural,11-15 yrs,Balanced,Moderate Risk,224,Excessive Usage
14,Female,Tablet,0.46,Poor Sleep,Urban,11-15 yrs,Balanced,Moderate Risk,229,Excessive Usage
18,Female,Tv,0.43,Poor Sleep,Urban,16-20 yrs,Balanced,Moderate Risk,392,Excessive Usage
15,Female,Laptop,0.46,"Poor Sleep, Eye Strain",Urban,11-15 yrs,Balanced,Moderate Risk,272,Excessive Usage
18,Female,Laptop,0.36,None,Urban,16-20 yrs,Mostly Recreational,High Risk,232,Excessive Usage
8,Female,Tablet,0.5,None,Rural,5-10 yrs,Mostly Educational,Low Risk,6,Within Limit
13,Male,Smartphone,0.39,Poor Sleep,Urban,11-15 yrs,Mostly Recreational,High Risk,266,Excessive Usage
15,Male,Smartphone,0.44,None,Rural,11-15 yrs,Balanced,Moderate Risk,285,Excessive Usage
12,Female,Tablet,0.4,Eye Strain,Urban,11-15 yrs,Balanced,Moderate Risk,219,Excessive Usage
11,Male,Laptop,0.31,"Poor Sleep, Eye Strain, Obesity Risk",Urban,11-15 yrs,Mostly Recreational,High Risk,231,Excessive Usage
9,Male,Tv,0.51,None,Urban,5-10 yrs,Mostly Educational,Low Risk,139,Slightly Over Limit
13,Male,Laptop,0.37,"Poor Sleep, Eye Strain",Rural,11-15 yrs,Mostly Recreational,High Risk,219,Excessive Usage
13,Female,Tv,0.43,"Poor Sleep, Obesity Risk",Rural,11-15 yrs,Balanced,Moderate Risk,347,Excessive Usage
18,Male,Tv,0.43,None,Urban,16-20 yrs,Balanced,Moderate Risk,178,Slightly Over Limit
8,Female,Smartphone,0.43,None,Urban,5-10 yrs,Balanced,Moderate Risk,55,Within Limit
16,Male,Smartphone,0.36,"Poor Sleep, Eye Strain",Urban,16-20 yrs,Mostly Recreational,High Risk,250,Excessive Usage
18,Male,Laptop,0.37,Poor Sleep,Urban,16-20 yrs,Mostly Recreational,High Risk,239,Excessive Usage
13,Male,Smartphone,0.43,None,Urban,11-15 yrs,Balanced,Moderate Risk,176,Slightly Over Limit
10,Female,Tv,0.54,"Poor Sleep, Eye Strain",Urban,5-10 yrs,Mostly Educational,Low Risk,398,Excessive Usage
11,Male,Tv,0.36,None,Urban,11-15 yrs,Mostly Recreational,High Risk,174,Slightly Over Limit
18,Female,Smartphone,0.43,Eye Strain,Urban,16-20 yrs,Balanced,Moderate Risk,350,Excessive Usage
11,Male,Smartphone,0.39,"Poor Sleep, Anxiety",Rural,11-15 yrs,Mostly Recreational,High Risk,287,Excessive Usage
10,Male,Smartphone,0.4,Poor Sleep,Urban,5-10 yrs,Balanced,Moderate Risk,248,Excessive Usage
17,Male,Smartphone,0.34,Poor Sleep,Urban,16-20 yrs,Mostly Recreational,High Risk,220,Excessive Usage
10,Male,Tv,0.46,"Poor Sleep, Obesity Risk",Rural,5-10 yrs,Balanced,Moderate Risk,181,Excessive Usage
10,Female,Tv,0.41,None,Urban,5-10 yrs,Balanced,Moderate Risk,115,Slightly Over Limit
11,Female,Laptop,0.36,"Anxiety, Obesity Risk",Urban,11-15 yrs,Mostly Recreational,High Risk,250,Excessive Usage
14,Male,Tv,0.37,"Poor Sleep, Eye Strain, Obesity Risk",Urban,11-15 yrs,Mostly Recreational,High Risk,234,Excessive Usage
11,Female,Tv,0.34,None,Urban,11-15 yrs,Mostly Recreational,High Risk,367,Excessive Usage
16,Male,Smartphone,0.47,Obesity Risk,Rural,16-20 yrs,Balanced,Moderate Risk,374,Excessive Usage
8,Male,Smartphone,0.52,None,Urban,5-10 yrs,Mostly Educational,Low Risk,172,Excessive Usage
